title,property_type,bedrooms,bathrooms,area_sqft,location,neighborhood,building,current_rent,previous_rent,annual_rent,url,furnishing,listing_date,agent_notes,scraped_date,average_area_price,area_price_per_sqft,trend_percentage,predicted_roi,price_vs_average_percent
"TruBroker™, Dubai",apartment,0,0,1310.0,"No Commission | Near Metro | Family Building | Prime LocationSilver Sands 1, Al Mankhool, Bur Dubai, Dubai",Al Mankhool,No Commission | Near Metro | Family Building | Prime LocationSilver Sands 1,88990.0,84540.5,1067880.0,https://www.bayut.com/property/details-9213278.html,N/A,2025-04-23,"on 23rd of April 2025TruBroker™AED88,990YearlyApartment22Area:1,310 sqftNo Commission | Near Metro | Family Building | Prime LocationSilver Sands 1, Al Mankhool, Bur Dubai, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,88990.0,67.93,0,5.0,0.0
", Dubai",apartment,0,0,1461.0,"Hot deal || Cozy Luxurious Fully Furnished 3 BHK Duplex Apartment || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments, Barsha Heights (Tecom), Dubai",Barsha Heights (Tecom),Hot deal || Cozy Luxurious Fully Furnished 3 BHK Duplex Apartment || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments,165000.0,156750.0,1980000.0,https://www.bayut.com/property/details-11433770.html,furnished,2025-04-23,"on 23rd of April 2025AED165,000YearlyApartment33Area:1,461 sqftHot deal || Cozy Luxurious Fully Furnished 3 BHK Duplex Apartment || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments, Barsha Heights (Tecom), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,117495.0,120.14,0,4.5,40.43150772373292
", Dubai",apartment,0,0,495.0,"Elegant Studio Apartment || Fully Furnished and Ready to Move  || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments, Barsha Heights (Tecom), Dubai",Barsha Heights (Tecom),Elegant Studio Apartment || Fully Furnished and Ready to Move  || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments,69990.0,66490.5,839880.0,https://www.bayut.com/property/details-11434129.html,furnished,2025-04-23,"on 23rd of April 2025AED69,990YearlyApartmentStudio1Area:495 sqftElegant Studio Apartment || Fully Furnished and Ready to Move  || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments, Barsha Heights (Tecom), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,117495.0,120.14,0,5.5,-40.43150772373292
"TruBroker™, Dubai",villa,0,0,408.0,"Studio | Fully Furnished | Upgraded | 12 ChequesBeverly Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",JVC District 13,Studio | Fully Furnished | Upgraded | 12 ChequesBeverly Residence,60000.0,57000.0,720000.0,https://www.bayut.com/property/details-10190356.html,furnished,2025-04-23,"on 23rd of April 2025TruBroker™AED60,000YearlyApartmentStudio1Area:408 sqftStudio | Fully Furnished | Upgraded | 12 ChequesBeverly Residence, JVC District 13, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,71000.0,99.09,0,4.4,-15.492957746478872
", Dubai",villa,0,0,2558.0,"Plot:2,015 sqftTHREE BED PLUS MAID ROOM VILLA II KITCHEN APPLINANCES II BEACHFRONTThe Pulse Beachfront, The Pulse, Residential District, Dubai South, Dubai",015 sqftTHREE BED PLUS MAID ROOM VILLA II KITCHEN APPLINANCES II BEACHFRONTThe Pulse Beachfront,Plot:2,155000.0,147250.0,1860000.0,https://www.bayut.com/property/details-11251977.html,N/A,2025-04-23,"on 23rd of April 2025AED155,000YearlyVilla35Built-up:2,558 sqftPlot:2,015 sqftTHREE BED PLUS MAID ROOM VILLA II KITCHEN APPLINANCES II BEACHFRONTThe Pulse Beachfront, The Pulse, Residential District, Dubai South, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,155000.0,60.59,0,4.0,0.0
", Dubai",villa,0,0,639.0,"Brand New | High Rise | ZERO MAINTENANCE CHARGESJVC007 Building, JVC District 17, Jumeirah Village Circle (JVC), Dubai",JVC District 17,Brand New | High Rise | ZERO MAINTENANCE CHARGESJVC007 Building,62000.0,58900.0,744000.0,https://www.bayut.com/property/details-11000336.html,N/A,2025-04-23,"on 23rd of April 2025AED62,000YearlyApartmentStudio1Area:639 sqftBrand New | High Rise | ZERO MAINTENANCE CHARGESJVC007 Building, JVC District 17, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,61333.33,93.07,0,4.0,1.086962015595759
", Dubai",villa,0,0,426.0,"OFFER! 1 Month Free + 0 Maint Fees | Brand NewJVC007 Building, JVC District 17, Jumeirah Village Circle (JVC), Dubai",JVC District 17,OFFER! 1 Month Free + 0 Maint Fees | Brand NewJVC007 Building,55000.0,52250.0,660000.0,https://www.bayut.com/property/details-11000081.html,N/A,2025-04-23,"on 23rd of April 2025AED55,000YearlyApartmentStudio1Area:426 sqftOFFER! 1 Month Free + 0 Maint Fees | Brand NewJVC007 Building, JVC District 17, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,61333.33,93.07,0,4.4,-10.326082082939246
", Dubai",apartment,0,0,769.0,"Front View | Great Layout | Fully FurnishedThe Wings C, The Wings, Arjan, Dubai",The Wings,Front View | Great Layout | Fully FurnishedThe Wings C,79999.0,75999.05,959988.0,https://www.bayut.com/property/details-11326246.html,N/A,2025-04-23,"on 23rd of April 2025AED79,999YearlyApartment12Area:769 sqftFront View | Great Layout | Fully FurnishedThe Wings C, The Wings, Arjan, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,79999.0,104.03,0,5.0,0.0
"TruBroker™, Dubai",apartment,0,0,721.0,"Available Now- Unfurnished-1 Bedroom + BalconyCentrium Tower 1, Centrium Towers, Dubai Production City (IMPZ), Dubai",Centrium Towers,Available Now- Unfurnished-1 Bedroom + BalconyCentrium Tower 1,56000.0,53200.0,672000.0,https://www.bayut.com/property/details-11347376.html,unfurnished,2025-04-23,"on 23rd of April 2025TruBroker™AED56,000YearlyApartment12Area:721 sqftAvailable Now- Unfurnished-1 Bedroom + BalconyCentrium Tower 1, Centrium Towers, Dubai Production City (IMPZ), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,56000.0,77.67,0,5.0,0.0
", Dubai",villa,0,0,743.0,"🏡 Spacious Unit | ✨ Well-Maintained | 🌆 Open ViewCentral Park Tower, JVC District 12, Jumeirah Village Circle (JVC), Dubai",JVC District 12,🏡 Spacious Unit | ✨ Well-Maintained | 🌆 Open ViewCentral Park Tower,67000.0,63650.0,804000.0,https://www.bayut.com/property/details-11230079.html,N/A,2025-04-23,"on 23rd of April 2025AED67,000YearlyApartment12Area:743 sqft🏡 Spacious Unit | ✨ Well-Maintained | 🌆 Open ViewCentral Park Tower, JVC District 12, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,67000.0,90.17,0,4.0,0.0
